rate	block	order	mode	variant	instrumented	valid	accepted_pps	loss	conservation	cycles_per_pkt	l2_fills_per_pkt	ccx_fills_per_pkt	dram_fills_per_pkt	invalid_reasons	file
500000	1	1	native	no-touch	1	True	500000.0	0.0	1.0	394.55	0.5299	0.7443	0.1648	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121141Z_xdp_drop_500000.json
500000	1	2	native	read-data	1	True	500001.0	0.0	1.0	562.09	0.4937	0.8023	1.0589	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121229Z_xdp_drop_500000.json
500000	1	3	skb	read-data	1	True	500000.4	0.0	1.0	2888.74	7.0236	0.9431	1.0789	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121317Z_xdp_drop_500000.json
500000	1	4	skb	no-touch	1	True	500000.8	0.0	1.0	2883.08	7.1631	0.9404	1.0787	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121404Z_xdp_drop_500000.json
2500000	1	1	skb	no-touch	1	True	1206804.4	0.51725	1.0	2646.49	5.5092	0.7628	1.1048	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121452Z_xdp_drop_2500000.json
2500000	1	2	native	read-data	1	True	2499843.1	0.0	1.0	610.19	0.5585	0.7613	1.0361	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121539Z_xdp_drop_2500000.json
2500000	1	3	skb	read-data	1	True	1212622.6	0.514938	1.0	2633.71	5.7117	0.6622	0.9431	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121627Z_xdp_drop_2500000.json
2500000	1	4	native	no-touch	1	True	2499930.5	0.0	1.0	453.59	0.4909	0.6116	0.1224	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121715Z_xdp_drop_2500000.json
5000000	1	1	native	no-touch	1	True	4999224.3	0.0	1.0	387.21	0.5289	0.743	0.1338	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121803Z_xdp_drop_5000000.json
5000000	1	2	native	read-data	1	True	4999952.0	0.0	1.0	484.31	0.521	0.7886	1.0506	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121850Z_xdp_drop_5000000.json
5000000	1	3	skb	no-touch	1	True	1202369.9	0.759416	1.0	2656.25	6.074	0.7617	1.092	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T121938Z_xdp_drop_5000000.json
5000000	1	4	skb	read-data	1	True	1201559.3	0.759632	1.0	2658.04	5.9222	0.7544	1.091	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T122026Z_xdp_drop_5000000.json
11500000	1	1	skb	no-touch	1	True	1200797.1	0.895445	1.0	2659.68	5.905	0.7596	1.0901	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T122114Z_xdp_drop_11500000.json
11500000	1	2	native	read-data	1	True	7794652.0	0.321983	1.0	409.38	0.6919	0.4291	1.0452	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T122201Z_xdp_drop_11500000.json
11500000	1	3	skb	read-data	1	True	1208391.9	0.894675	1.0	2642.95	6.0247	0.6679	0.945	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T122249Z_xdp_drop_11500000.json
11500000	1	4	native	no-touch	1	True	11494716.5	0.0	1.0	252.14	0.4584	0.8118	0.179	-	/home/luw/XDP3/data/paired/paired_4config_ring4096_20260824/cells/20260824T122337Z_xdp_drop_11500000.json
