rate	block	order	mode	variant	instrumented	valid	accepted_pps	loss	conservation	cycles_per_pkt	l2_fills_per_pkt	ccx_fills_per_pkt	dram_fills_per_pkt	invalid_reasons	file
6500000	2	3	skb	no-touch	1	True	1245275.4	0.808422	1.0	2564.75	6.374	0.313	0.0631	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T162407Z_xdp_drop_6500000.json
6500000	2	4	native	read-data	1	True	6499994.9	0.0	1.0	360.23	0.4661	0.1117	0.248	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T162455Z_xdp_drop_6500000.json
8000000	2	1	native	no-touch	1	True	8000012.5	0.0	1.0	299.92	0.4113	0.0801	0.0092	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T162543Z_xdp_drop_8000000.json
8000000	2	2	native	read-data	1	True	8000011.7	0.0	1.0	392.49	1.0561	0.0718	0.8844	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T162631Z_xdp_drop_8000000.json
8000000	2	3	skb	no-touch	1	True	1244365.2	0.844458	1.0	2566.61	6.6394	0.6307	0.0639	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T162718Z_xdp_drop_8000000.json
8000000	2	4	skb	read-data	1	True	1243189.4	0.844603	1.0	2569.02	5.6279	0.5873	0.0638	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T162806Z_xdp_drop_8000000.json
250000	2	1	native	no-touch	1	True	250000.9	0.0	1.0	522.72	0.7386	0.0867	0.0311	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T162854Z_xdp_drop_250000.json
250000	2	2	skb	read-data	1	True	250000.4	0.0	1.0	2866.51	8.4649	0.7702	0.0326	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T162941Z_xdp_drop_250000.json
250000	2	3	skb	no-touch	1	True	250000.1	0.0	1.0	2870.88	8.3233	0.774	0.0327	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163029Z_xdp_drop_250000.json
250000	2	4	native	read-data	1	True	250000.0	0.0	1.0	615.06	0.8224	0.1128	0.6063	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163117Z_xdp_drop_250000.json
1000000	2	1	skb	no-touch	1	True	1000001.6	0.0	1.0	2766.48	7.5708	0.3579	0.0346	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163205Z_xdp_drop_1000000.json
1000000	2	2	skb	read-data	1	True	1000002.7	0.0	1.0	2770.76	7.6596	0.3668	0.0345	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163252Z_xdp_drop_1000000.json
1000000	2	3	native	read-data	1	True	1000001.5	0.0	1.0	510.62	0.7668	0.124	0.6092	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163340Z_xdp_drop_1000000.json
1000000	2	4	native	no-touch	1	True	1000002.4	0.0	1.0	412.36	0.4608	0.0698	0.0188	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163428Z_xdp_drop_1000000.json
14500000	2	1	native	no-touch	1	True	14267379.3	0.016052	1.0	223.86	0.8556	0.0492	0.0	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163516Z_xdp_drop_14500000.json
14500000	2	2	native	read-data	1	True	10807738.9	0.254645	1.0	295.47	0.3755	0.0695	0.3624	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163603Z_xdp_drop_14500000.json
