rep	offered_pps	dut_rx	dut_missed	measured_s	accepted_pps	bench_rate	loss	conservation	oerrors	tx_leak	perf_cpu_util	cycles_per_pkt	instructions_per_pkt	rc	file
1	14758744.0	417481374	28307501	30.058	13889116.2	13891113	0.063287	1.0	0	0	1.0	229.91	266.49	0	data/baseline/xdp_drop_linerate_20260823T121922Z/cells/20260823T121923Z_xdp_drop_14880952.json
2	14799542.0	417668048	26456171	30.058	13895243.9	13893632	0.059147	1.0	0	0	1.0	229.8	266.5	0	data/baseline/xdp_drop_linerate_20260823T121922Z/cells/20260823T122012Z_xdp_drop_14880952.json
3	14857256.0	415976012	28640755	30.057	13839533.4	13838954	0.064034	1.0	0	0	0.9999	230.73	266.5	0	data/baseline/xdp_drop_linerate_20260823T121922Z/cells/20260823T122100Z_xdp_drop_14880952.json
4	14859646.0	416983260	28014710	30.058	13872392.8	13874311	0.062632	1.0	0	0	0.9999	230.18	266.5	0	data/baseline/xdp_drop_linerate_20260823T121922Z/cells/20260823T122147Z_xdp_drop_14880952.json
5	14764345.0	416062176	29159635	30.058	13841848.9	13842954	0.065192	1.0	0	0	1.0	230.7	266.5	0	data/baseline/xdp_drop_linerate_20260823T121922Z/cells/20260823T122236Z_xdp_drop_14880952.json
